,address,angel_number
0,https://www.yummymummykitchen.com/2022/03/444-angel-number-meaning.html,444
1,https://www.yummymummykitchen.com/2022/03/999-angel-number-meaning.html,999
2,https://www.yummymummykitchen.com/2022/02/222-angel-number-meaning.html,222
3,https://www.yummymummykitchen.com/2021/11/555-angel-number-meaning.html,555
4,https://www.yummymummykitchen.com/2021/11/1010-angel-number.html,1010
5,https://www.yummymummykitchen.com/2022/01/333-angel-number-meaning.html,333
6,https://www.yummymummykitchen.com/2021/10/1122-angel-number.html,1122
7,https://www.yummymummykitchen.com/2021/10/666-angel-number-meaning.html,666
8,https://www.yummymummykitchen.com/2021/10/123-angel-number-meaning.html,123
9,https://www.yummymummykitchen.com/2021/10/1111-meaning.html,1111
